Provinsi,Kepulauan,Jumlah Laporan
DKI Jakarta,Pulau Jawa,68
Banten,Pulau Jawa,32
Jawa Barat,Pulau Jawa,49
Jawa Tengah,Pulau Jawa,45
Jawa Timur,Pulau Jawa,51
Daerah Istimewa Yogyakarta,Pulau Jawa,52
Nanggroe Aceh Darussalam,Pulau Sumatera,16
Sumatera Barat,Pulau Sumatera,39
Sumatera Utara,Pulau Sumatera,41
Sumatera Selatan,Pulau Sumatera,23
Lampung,Pulau Sumatera,30
Riau,Pulau Sumatera,23
Kepulauan Riau,Pulau Sumatera,24
Jambi,Pulau Sumatera,42
Kepulauan Bangka Belitung,Pulau Sumatera,30
Bengkulu,Pulau Sumatera,24
Kalimantan Barat,Pulau Kalimantan,32
Kalimantan Selatan,Pulau Kalimantan,14
Kalimantan Tengah,Pulau Kalimantan,17
Kalimantan Timur,Pulau Kalimantan,37
Kalimantan Utara,Pulau Kalimantan,34
Sulawesi Barat,Pulau Sulawesi,47
Sulawesi Tenggara,Pulau Sulawesi,48
Sulawesi Selatan,Pulau Sulawesi,12
Sulawesi Tengah,Pulau Sulawesi,34
Sulawesi Utara,Pulau Sulawesi,54
Gorontalo,Pulau Sulawesi,12
Maluku,Kepulauan Maluku,11
Maluku Utara,Kepulauan Maluku,55
Bali,Kepulauan Nusa Tenggara,39
Nusa Tenggara Barat,Kepulauan Nusa Tenggara,28
Nusa Tenggara Timur,Kepulauan Nusa Tenggara,15
Papua,Pulau Papua,36
Papua Barat,Pulau Papua,21
